,ticker,date,window_time,best_bid,best_bidsizeshares,best_ask,best_asksizeshares,time_of_last_quote,mid_equity_price
6,F,2025-07-21,2025-07-21 16:00:00-04:00,11.32,104700,11.33,142100,2025-07-21 15:59:59.997324516-04:00,11.325
0,F,2025-07-22,2025-07-22 10:00:00-04:00,11.15,15300,11.16,8900,2025-07-22 09:59:59.313573638-04:00,11.155000000000001
1,F,2025-07-22,2025-07-22 11:00:00-04:00,11.12,23000,11.13,29300,2025-07-22 10:59:59.786427732-04:00,11.125
2,F,2025-07-22,2025-07-22 12:00:00-04:00,11.25,30000,11.26,33200,2025-07-22 11:59:59.560736874-04:00,11.254999999999999
3,F,2025-07-22,2025-07-22 13:00:00-04:00,11.16,17300,11.17,15600,2025-07-22 12:59:58.364172245-04:00,11.165
4,F,2025-07-22,2025-07-22 14:00:00-04:00,11.21,31600,11.22,17800,2025-07-22 13:59:59.105241135-04:00,11.215
5,F,2025-07-22,2025-07-22 15:00:00-04:00,11.22,30600,11.23,51100,2025-07-22 14:59:59.885881302-04:00,11.225000000000001
6,F,2025-07-22,2025-07-22 16:00:00-04:00,11.18,289900,11.19,86100,2025-07-22 15:59:59.999345397-04:00,11.184999999999999
0,F,2025-07-23,2025-07-23 10:00:00-04:00,11.32,10000,11.33,7200,2025-07-23 09:59:59.590165762-04:00,11.325
1,F,2025-07-23,2025-07-23 11:00:00-04:00,11.41,8500,11.42,19900,2025-07-23 10:59:59.528159809-04:00,11.415
2,F,2025-07-23,2025-07-23 12:00:00-04:00,11.42,23600,11.43,14600,2025-07-23 11:59:56.177011818-04:00,11.425
3,F,2025-07-23,2025-07-23 13:00:00-04:00,11.44,9500,11.45,15400,2025-07-23 12:59:59.935140038-04:00,11.445
4,F,2025-07-23,2025-07-23 14:00:00-04:00,11.36,13900,11.37,34100,2025-07-23 13:59:59.999985460-04:00,11.364999999999998
5,F,2025-07-23,2025-07-23 15:00:00-04:00,11.37,6300,11.38,36900,2025-07-23 14:59:58.443785526-04:00,11.375
6,F,2025-07-23,2025-07-23 16:00:00-04:00,11.38,27100,11.39,93800,2025-07-23 15:59:59.999256142-04:00,11.385000000000002
0,F,2025-07-24,2025-07-24 10:00:00-04:00,11.36,10100,11.37,8600,2025-07-24 09:59:54.087338412-04:00,11.364999999999998
1,F,2025-07-24,2025-07-24 11:00:00-04:00,11.39,37700,11.4,17500,2025-07-24 10:59:59.960256216-04:00,11.395
2,F,2025-07-24,2025-07-24 12:00:00-04:00,11.34,20600,11.35,13800,2025-07-24 11:59:57.193443291-04:00,11.344999999999999
3,F,2025-07-24,2025-07-24 13:00:00-04:00,11.26,25000,11.27,28800,2025-07-24 12:59:58.686282255-04:00,11.265
4,F,2025-07-24,2025-07-24 14:00:00-04:00,11.32,27200,11.33,18300,2025-07-24 13:59:58.892256483-04:00,11.325
5,F,2025-07-24,2025-07-24 15:00:00-04:00,11.27,38800,11.28,26800,2025-07-24 14:59:58.468203626-04:00,11.274999999999999
6,F,2025-07-24,2025-07-24 16:00:00-04:00,11.26,326700,11.27,51800,2025-07-24 15:59:59.999556009-04:00,11.265
0,F,2025-07-25,2025-07-25 10:00:00-04:00,11.27,7300,11.28,21000,2025-07-25 09:59:58.018841393-04:00,11.274999999999999
1,F,2025-07-25,2025-07-25 11:00:00-04:00,11.28,33600,11.29,26300,2025-07-25 10:59:59.267773934-04:00,11.285
2,F,2025-07-25,2025-07-25 12:00:00-04:00,11.28,54300,11.29,28000,2025-07-25 11:59:58.593159320-04:00,11.285
3,F,2025-07-25,2025-07-25 13:00:00-04:00,11.32,47700,11.33,36200,2025-07-25 12:59:58.655898256-04:00,11.325
4,F,2025-07-25,2025-07-25 14:00:00-04:00,11.38,63500,11.39,23400,2025-07-25 13:59:59.877015287-04:00,11.385000000000002
5,F,2025-07-25,2025-07-25 15:00:00-04:00,11.41,60800,11.42,26600,2025-07-25 14:59:52.715604420-04:00,11.415
6,F,2025-07-25,2025-07-25 16:00:00-04:00,11.46,60300,11.47,156200,2025-07-25 15:59:59.994574217-04:00,11.465
